name,information,address,price,owner,house_type,in_pledge,construction_year,ceiling_height,area,room_count,floor_count,floor ,district,url,lat,lon
2-комнатная квартира · 74.9 м²,"жил. комплекс Capital Park. Art, 16 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Capital Park Art — это не просто место, где вы живёте — это пространство, где рождается вдохновение. Здесь парк дарит покой, а город наполняет энергией. Это выбор тех, кто ценит баланс: меж…",Аль-Фараби 3/2,60594100.0,Новостройка,монолитный дом,False,2026,3.0,74.9,2.0,13.0,16.0,Есильский р-н,https://krisha.kz/a/show/1004370011?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=23,51.102519937891,71.450931397467
2-комнатная квартира · 63.31 м²,"жил. комплекс Auez, 16 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Äuez — жилой комплекс, который воплощает идею слияния современной комфортной жизни и богатого культурного наследия Казахстана. Это место, где музыка и архитектура переплетаются, создавая уникальную симфонию…",Сагадат Нурмагамбетов 17,44950100.0,Новостройка,монолитный дом,False,2026,3.0,63.31,2.0,12.0,16.0,Сарайшык р-н,https://krisha.kz/a/show/698215355?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=24,51.113877909608,71.481329798644
3-комнатная квартира · 95.65 м²,"жил. комплекс MOD Ultra, 17 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Разрешение от МИО (Местный исполнительный орган). Выдано застройщику ТОО «Nova City Development» и уполномоченной компании ТОО «Туран Сити»",Хусейн бен Талал 37,79389500.0,Новостройка,монолитный дом,False,2026,3.0,95.65,3.0,11.0,17.0,Есильский р-н,https://krisha.kz/a/show/1005837210?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=25,51.078989380451,71.429688367274
4-комнатная квартира · 149.83 м²,"жил. комплекс Capital Park. Art, 16 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Capital Park Art — это не просто место, где вы живёте — это пространство, где рождается вдохновение. Здесь парк дарит покой, а город наполняет энергией. Это выбор тех, кто ценит баланс: меж…",Аль-Фараби 3/2,133348700.0,Новостройка,монолитный дом,False,2026,3.0,149.83,4.0,13.0,16.0,Есильский р-н,https://krisha.kz/a/show/1004370401?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=26,51.102519937891,71.450931397467
2-комнатная квартира · 51.17 м²,"жил. комплекс Qasteev, 21 этаж, 2026 г.п., потолки 3м., санузел совмещенный, Преимущества:💥Зоны для отдыха💥Озелененн…",Бухар жырау 20,50044260.0,Новостройка,монолитный дом,False,2026,3.0,51.17,2.0,16.0,21.0,Нура р-н,https://krisha.kz/a/show/697909156?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=27,51.103373890473,71.399510846717
2-комнатная квартира · 69.4 м² · 14/18 этаж,"жил. комплекс Argento, монолитный дом, 2021 г.п., потолки 3м., меблирована частично, Цена ниже рынка ! Описание Продается просторная, полноценная 2 комнатная квартира в ЖК Argento – это современный проект, воплощающий лучшие условия для комфортной жизни. Идеальное расположение в сердце Еслиоьск…",Акмешит 13,50000000.0,Риелтор,монолитный дом,False,2021,3.0,69.4,2.0,18.0,14.0,Есильский р-н,https://krisha.kz/a/show/1008976144?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=28,51.111798368723,71.421672763587
3-комнатная квартира · 119.69 м²,"жил. комплекс Isma, 9 этажей, 2025 г.п., потолки 3.2м., санузел 2 с/у и более, Жилой комплекс ISMA в Астане – это яркий пример того, насколько удобным, стильным и качественными может быть бизнес-класс. Максимальный уровень комфортна, все необходимое внутри ЖК…",Шамши Калдаяков 16,70617100.0,Новостройка,монолитный дом,False,2025,3.2,119.69,3.0,13.0,9.0,Сарайшык р-н,https://krisha.kz/a/show/699607417?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=29,51.114362570636,71.479214907228
2-комнатная квартира · 45.1 м² · 9/12 этаж,"жил. комплекс GreenLine.Astra, монолитный дом, 2025 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Заезжай и живи! Полноценная двухкомнатная квартира. Изолированные комнаты: спальня и гостиная. Свеж…",Е-900 10,45000000.0,Хозяин недвижимости,монолитный дом,False,2025,3.0,45.1,2.0,12.0,9.0,Нура р-н,https://krisha.kz/a/show/1008786196?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=30,51.136947668062,71.396343749012
2-комнатная квартира · 89.11 м²,"жил. комплекс Nexpo Aura, 22 этажа, 2026 г.п., потолки 3м., санузел совмещенный, Жить с уверенностью, вдохновением и комфортом — это о Nexpo Aura. Пространство, где современные ритмы города гармонично сочетаются с уединением. Здесь вы окружены людьми, которые ценят стиль, кач…",ул. Мангилик Ел 57,95169480.0,Новостройка,монолитный дом,False,2026,3.0,89.11,2.0,15.0,22.0,Есильский р-н,https://krisha.kz/a/show/1000673327?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=31,51.088864764786,71.423273419468
1-комнатная квартира · 41 м²,"жил. комплекс KHAN RESIDENCE, 16 этажей, 2024 г.п., потолки 2.8м., санузел совмещенный, Жилой комплекс состоит из 2 очередей. 1 очередь достроилась в 1 квартале 2024 года. Сейчас строится 2 очередь - срок сдачи декабрь 2025 года",Н. Тлендиева,12915000.0,Новостройка,монолитный дом,False,2024,2.8,41.0,1.0,16.0,16.0,Сарыарка р-н,https://krisha.kz/a/show/675971515?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=32,51.194328899564,71.323287483828
4-комнатная квартира · 144.2 м² · 13/15 этаж,"жил. комплекс Айя, монолитный дом, 2012 г.п., потолки 2.7м., санузел 2 с/у и более, Продается 4 комнатная квартира в ЖК “Айя” дом стандарт класса в Золотом квадрате правого берега. В квартире остается практически все, Есть несколько лоджий, гардеробная комната в спальне, установлен фильтр для во…",Шолпан Иманбаевой 7Б,59000000.0,Риелтор,монолитный дом,False,2012,2.7,144.2,4.0,15.0,13.0,р-н Байконур,https://krisha.kz/a/show/1005735788?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=33,51.161820839712,71.434037089293
3-комнатная квартира · 96.88 м²,"жил. комплекс MOD Ultra, 17 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Разрешение от МИО (Местный исполнительный орган). Выдано застройщику ТОО «Nova City Development» и уполномоченной компании ТОО «Туран Сити»",Хусейн бен Талал 37,84188720.0,Новостройка,монолитный дом,False,2026,3.0,96.88,3.0,11.0,17.0,Есильский р-н,https://krisha.kz/a/show/1005837211?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=34,51.078989380451,71.429688367274
3-комнатная квартира · 85.7 м²,"жил. комплекс Park City Forum, 18 этажей, 2025 г.п., потолки 3м., санузел 2 с/у и более, ЖК Park City Forum создан для тех, кто ценит комфорт, безопасность и современный уровень жизни. Преимущества",,46278000.0,Новостройка,монолитный дом,False,2025,3.0,85.7,3.0,16.0,18.0,Нура р-н,https://krisha.kz/a/show/1008135379?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=35,51.131434316719,71.358380589066
2-комнатная квартира · 42 м² · 11/12 этаж,"жил. комплекс Dauys, монолитный дом, 2025 г.п., потолки 3м., Продается готовая Евродвухкомнатная квартира с ремонтом и мебелью, квартира абсолютно новая. Документы в порядке, не в залоге, ипотеку проходит, в ипотеку будет дороже",Жумекен Нажимеденов 28,33900000.0,Риелтор,монолитный дом,False,2025,3.0,42.0,2.0,12.0,11.0,Сарайшык р-н,https://krisha.kz/a/show/1009022329?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=36,51.11546343862,71.493530612835
3-комнатная квартира · 147 м² · 8/12 этаж,"жил. комплекс Отель Дипломат, кирпичный дом, 2010 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, меблирована частично, Продаётся 3 ком квартира (БИЗНЕС КЛАССА) после ремонта, в отличном состоянии. Никто не проживал после ремонта. ЖК « Отель Дипломат « В этом доме всего 3 подъез…",Кунаева 29,82000000.0,Хозяин недвижимости,кирпичный дом,False,2010,3.0,147.0,3.0,12.0,8.0,Есильский р-н,https://krisha.kz/a/show/1006165672?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=37,51.131723,71.427923
2-комнатная квартира · 55 м² · 7/9 этаж,"жил. комплекс Жас Кайрат, монолитный дом, 2010 г.п., потолки 2.8м., В стоимость входит кладовое помещение. Агентов по недвижимости не беспокоит !",Сатпаева 21,34500000.0,Хозяин недвижимости,монолитный дом,False,2010,2.8,55.0,2.0,9.0,7.0,Алматы р-н,https://krisha.kz/a/show/1008632870?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=38,51.142842089743,71.47334581241
3-комнатная квартира · 127.9 м² · 7/12 этаж,"жил. комплекс Бейбарыс, монолитный дом, 2017 г.п., потолки 3м., санузел 2 с/у и более, интернет через TV кабель, меблирована частично, Продаётся 3-комнатная квартира площадью 127, 9 кв. м в отдельно стоящем доме 2018 года постройки на ул. Нажимеденова. Дом с удобным пандусом и подземным парк…",Нажимеденова 34А,77500000.0,Риелтор,монолитный дом,False,2017,3.0,127.9,3.0,12.0,7.0,Сарайшык р-н,https://krisha.kz/a/show/1007134723?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=39,51.114837449899,71.498112608404
1-комнатная квартира · 40.66 м² · 6/7 этаж,"жил. комплекс Samal Park, кирпичный дом, 2025 г.п., потолки 3.3м., санузел совмещенный, 🏡 ЖК «Самал Парк» — бизнес-блок Стильная 1-комнатная квартира, 40 м², на 6/7 этаже кирпичного дома. Панорамные окна в пол с видом на Сфера Парк — светлая и уютная атмосфера каждый день. Потолки 3.3 м, современ…",Улица Жошы хан 17,36200000.0,Риелтор,кирпичный дом,False,2025,3.3,40.66,1.0,7.0,6.0,Есильский р-н,https://krisha.kz/a/show/1007254867?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=40,51.094092,71.436331
2-комнатная квартира · 63 м² · 8/9 этаж,"В залоге, жил. комплекс Salman City, монолитный дом, 2025 г.п., потолки 3м., санузел раздельный, Продаётся 2-комнатная квартира в ЖК SALMAN CITY 🏗 Застройщик: ULYTAU GROUP 📐 Площадь: 63 м² 🏢 Этаж: 8 из 9 🛠 Состояние: черновая отделка — идеальная база для ремонта под себя ✨ Преимущества квартиры:…",Казыбек би 41/1,35000000.0,Риелтор,монолитный дом,True,2025,3.0,63.0,2.0,9.0,8.0,Нура р-н,https://krisha.kz/a/show/1008144161?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=42,51.097235075811,71.382428858179
1-комнатная квартира · 55 м² · 10/15 этаж,"жил. комплекс Саржайлау, 2017 г.п., потолки 2.7м., Район КАЗ ГЮУ и КАЗ УТБ ❗ ЖК Саржайлау ✅ 1 комнатная ✅ 55 м2 ✅ 10 из 15 этаж Просторная однокомнатная квартира. Можно, как евродвушку без переноса мокрой зоны. Имеется хорошая кладовка. Не в цене Не в залоге Горящая продажа. Просторная квар…",Коргалжынское шоссе 25,23000000.0,Риелтор,монолитный дом,False,2017,2.7,55.0,1.0,15.0,10.0,Нура р-н,https://krisha.kz/a/show/1007862626?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=43,51.147565544666,71.366727340912
2-комнатная квартира · 60.6 м² · 9/9 этаж,"жил. комплекс GreenLine. Silva, монолитный дом, 2025 г.п., состояние: свежий ремонт, потолки 3м., санузел совмещенный, интернет оптика, меблирована полностью, ✅ЖК GREENLINE.SILVA ✅ БИЗНЕС КЛАСС ✅ 2-комнатная, полноценная ✅ 9 этаж из 9 ✅ 60, 6 кв. м. ✅ Полностью упакована! Продаётся полноц…",Е-899,56000000.0,Риелтор,монолитный дом,False,2025,3.0,60.6,2.0,9.0,9.0,Нура р-н,https://krisha.kz/a/show/1008236143?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=44,51.137997596256,71.388189307116
4-комнатная квартира · 105.7 м² · 6/9 этаж,"жил. комплекс GreenLine.Aqua Business, монолитный дом, 2025 г.п., состояние: свежий ремонт, потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет оптика, меблирована полностью, ✅ ЖК Green Line Aqua Business 2 ✅ Дом 2025 года, Бизнес класс ✅ Площадь: 105, 7 кв…",Е-899,108000000.0,Риелтор,монолитный дом,False,2025,3.0,105.7,4.0,9.0,6.0,Есильский р-н,https://krisha.kz/a/show/1002629742?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=45,51.133088154234,71.386474370847
2-комнатная квартира · 57 м² · 4/8 этаж,"жил. комплекс Arena Vista, монолитный дом, 2026 г.п., потолки 3м., без мебели, Продаётся 2-комнатная квартира в современном доме Arеna Vista С ремонтом, без мебели 🏠 В квартире: • Шумоизоляция Acoustic Pro • «Плавающий пол» • IP-домофония • Электронные замки на входных дверях • Внутриквартирная…",Туран,47000000.0,Риелтор,монолитный дом,False,2026,3.0,57.0,2.0,8.0,4.0,Нура р-н,https://krisha.kz/a/show/1008834519?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=46,51.109052786899,71.391633789944
3-комнатная квартира · 72 м² · 9/16 этаж,"жил. комплекс Silk Way, кирпичный дом, 2022 г.п., потолки 2.8м",Тауелсиздик 34/2,46000000.0,Хозяин недвижимости,кирпичный дом,False,2022,2.8,72.0,3.0,16.0,9.0,Алматы р-н,https://krisha.kz/a/show/1009085921?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=47,51.138434633569,71.467113488437
